client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
6b7c184e74f2c0055b530b30a7eaca01e2962274be7bf8c9e9c6d76aaff0caaf30092722d7a89bd78b7a174f8277ec9916185395d70992b2bd23130b498a59f9	common_voice_pt_41964522.mp3	edda444324ccdc32b9a5a66bd54110d4b7539a33ba07c0140227d58aeb2e0c79	escrupulosamente		0	0	fifties				pt	
6b7c184e74f2c0055b530b30a7eaca01e2962274be7bf8c9e9c6d76aaff0caaf30092722d7a89bd78b7a174f8277ec9916185395d70992b2bd23130b498a59f9	common_voice_pt_41964526.mp3	f84e2910beb411008ba12ada2fa01253736c54b28a82305ba6500ba251f59acb	genérica, multiparadigma		1	0	fifties				pt	
6b7c184e74f2c0055b530b30a7eaca01e2962274be7bf8c9e9c6d76aaff0caaf30092722d7a89bd78b7a174f8277ec9916185395d70992b2bd23130b498a59f9	common_voice_pt_41964529.mp3	cbff35c094da6acfd9f0a13218468b1dcfa3adf757592d081448a63a2ba120d6	Crioulo, oradora, nativa, nativo, monotongos, fonologia, vogais, consoantes		0	0	fifties				pt	
6b7c184e74f2c0055b530b30a7eaca01e2962274be7bf8c9e9c6d76aaff0caaf30092722d7a89bd78b7a174f8277ec9916185395d70992b2bd23130b498a59f9	common_voice_pt_41964530.mp3	0ad59115ff5e72a9d7bf7b58dd9a1ae7f116d88a6ff1e45e7422ec2711183997	Laboratório Industrial Farmacêutico de Alagoas		0	0	fifties				pt	
6b7c184e74f2c0055b530b30a7eaca01e2962274be7bf8c9e9c6d76aaff0caaf30092722d7a89bd78b7a174f8277ec9916185395d70992b2bd23130b498a59f9	common_voice_pt_41964531.mp3	04cc18c6ea16773998319a064e53747d319c0926b82f2c10c7262c0c4ec4f0b5	O Porto tem um metro de superfície.	general	0	0	fifties				pt	
52ef769eaeec255fe68f06704133a3c9d7781696b791a16cf9d84340c8f8dfda97c3d1f24adc738ec23d860fca786d2b04237913add6f90c5e3042691a23c500	common_voice_pt_41978868.mp3	e74ff17a8c3836568d30a636482879d236d681e4a8cd501f2644b28fd48308a9	Olá! Tudo bem contigo? Estamos em Paris!	general	1	0				Portuguese (Brasil)	pt	
52ef769eaeec255fe68f06704133a3c9d7781696b791a16cf9d84340c8f8dfda97c3d1f24adc738ec23d860fca786d2b04237913add6f90c5e3042691a23c500	common_voice_pt_41978869.mp3	fa779ef2c684fa26f9fe117848f914b64d752235fec869862d6775565ee764a2	Não se fazem omeletes sem ovos.	general,agriculture_food	0	0				Portuguese (Brasil)	pt	
52ef769eaeec255fe68f06704133a3c9d7781696b791a16cf9d84340c8f8dfda97c3d1f24adc738ec23d860fca786d2b04237913add6f90c5e3042691a23c500	common_voice_pt_41978870.mp3	81c81248db93a9d89c949c5459b0332182f707531db5397ef134da04fafc588e	Este meu desalento já não tem mais fim.	general	0	0				Portuguese (Brasil)	pt	
52ef769eaeec255fe68f06704133a3c9d7781696b791a16cf9d84340c8f8dfda97c3d1f24adc738ec23d860fca786d2b04237913add6f90c5e3042691a23c500	common_voice_pt_41978871.mp3	f6e0476a711b767576d3872fc0816e5febc72c37a2fec70e364a3288bcb3b136	Gazola, Mabella, Magnetec, Marcopolo, Gerdau, PagBrasil, Panvel, Piccadilly, Ramarim, Randon, Pampa		0	0				Portuguese (Brasil)	pt	
52ef769eaeec255fe68f06704133a3c9d7781696b791a16cf9d84340c8f8dfda97c3d1f24adc738ec23d860fca786d2b04237913add6f90c5e3042691a23c500	common_voice_pt_41978872.mp3	97c4e9b4ed742a9a5327b0bf7c75c84805087dcd13e0e2570c43027fa44fa4f8	Está extremamente frio em Curitiba	general	0	0				Portuguese (Brasil)	pt	
